Voltage,Count
401,0
401,1
401,0
401,1
401,2
410,0
410,1
410,1
410,1
410,2
420,0
420,1
420,1
420,0
420,1
431,0
431,0
431,1
431,2
431,2
440,0
440,1
440,0
440,2
440,1
452,1
452,1
452,1
452,0
452,1
460,3
460,1
460,2
460,1
460,2
471,3
471,1
471,0
471,1
471,2
480,1
480,2
480,1
480,1
480,4
490,3
490,5
490,2
490,3
490,7
500,3
500,3
500,2
500,5
500,4
510,3
510,9
510,5
510,5
510,3
520,3
520,6
520,7
520,4
520,9
530,9
530,10
530,5
530,7
530,6
540,12
540,14
540,10
540,13
540,12
550,18
550,11
550,7
550,14
550,9
559,15
559,12
559,17
559,20
559,20
569,18
569,19
569,21
569,26
569,22
581,31
581,44
581,20
581,23
581,28
590,35
590,29
590,43
590,34
590,37
600,36
600,58
600,61
600,46
600,51
610,63
610,46
610,46
610,61
610,53
619,80
619,73
619,70
619,69
619,68
630,104
630,103
630,98
630,82
630,86
640,112
640,122
640,98
640,102
640,113
650,141
650,140
650,140
650,127
650,124
660,149
660,159
660,162
660,154
660,155
670,194
670,191
670,203
670,189
670,197
680,248
680,229
680,207
680,222
680,209
689,252
689,240
689,254
689,266
689,270
700,302
700,312
700,274
700,279
700,305
