Voltage,Count
399,2
399,1
399,1
399,1
399,0
410,1
410,0
410,0
410,1
410,0
419,2
419,1
419,3
419,1
419,1
431,2
431,2
431,1
431,1
431,3
440,1
440,0
440,3
440,1
440,1
450,3
450,3
450,1
450,3
450,3
460,3
460,3
460,2
460,2
460,1
470,1
470,1
470,2
470,5
470,1
480,3
480,1
480,2
480,2
480,3
491,4
491,5
491,5
491,8
491,4
500,3
500,2
500,4
500,4
500,7
510,9
510,10
510,7
510,9
510,10
520,19
520,16
520,10
520,9
520,17
531,19
531,20
531,14
531,10
531,19
541,24
541,16
541,25
541,17
541,19
550,19
550,20
550,23
550,25
550,26
559,33
559,40
559,36
559,26
559,29
570,39
570,55
570,38
570,34
570,34
580,51
580,41
580,47
580,41
580,41
591,59
591,54
591,66
591,76
591,55
600,56
600,50
600,55
600,74
600,75
611,82
611,83
611,80
611,57
611,69
619,90
619,78
619,81
619,84
619,114
630,101
630,120
630,86
630,101
630,108
641,154
641,109
641,113
641,116
641,133
650,132
650,154
650,143
650,162
650,159
660,181
660,168
660,185
660,163
660,178
670,198
670,205
670,198
670,208
670,199
681,237
681,226
681,252
681,243
681,236
689,302
689,268
689,265
689,266
689,272
700,333
700,316
700,341
700,333
700,338
