detector_position,count
1,811
1,836
1,885
1,859
1,799
1.2,896
1.2,891
1.2,888
1.2,919
1.2,895
1.4,962
1.4,925
1.4,888
1.4,955
1.4,979
1.6,1055
1.6,1068
1.6,1021
1.6,1077
1.6,1019
1.8,1170
1.8,1170
1.8,1201
1.8,1153
1.8,1153
2,1343
2,1311
2,1365
2,1302
2,1274
2.2,1529
2.2,1544
2.2,1527
2.2,1582
2.2,1605
2.4,1838
2.4,1777
2.4,1861
2.4,1839
2.4,1899
2.6,2181
2.6,2167
2.6,2113
2.6,2189
2.6,2154
2.8,2575
2.8,2584
2.8,2549
2.8,2615
2.8,2621
3,2993
3,3082
3,2936
3,3050
3,3070
3.2,3529
3.2,3451
3.2,3473
3.2,3481
3.2,3423
3.4,3990
3.4,4091
3.4,4043
3.4,3989
3.4,3944
3.6,4630
3.6,4654
3.6,4679
3.6,4647
3.6,4529
3.8,5141
3.8,5195
3.8,5177
3.8,5121
3.8,5123
4,5577
4,5706
4,5527
4,5569
4,5653
4.2,6141
4.2,6196
4.2,6130
4.2,6112
4.2,6080
4.4,6474
4.4,6558
4.4,6510
4.4,6544
4.4,6591
4.6,6985
4.6,7032
4.6,6999
4.6,7082
4.6,7012
4.8,7175
4.8,7268
4.8,7144
4.8,7363
4.8,7289
5,7364
5,7517
5,7635
5,7449
5,7440
5.2,7617
5.2,7675
5.2,7715
5.2,7650
5.2,7670
5.4,7902
5.4,7591
5.4,7661
5.4,7723
5.4,7566
5.6,7547
5.6,7487
5.6,7797
5.6,7692
5.6,7646
5.8,7358
5.8,7420
5.8,7501
5.8,7376
5.8,7442
6,7132
6,7236
6,7264
6,7198
6,7284
6.2,6716
6.2,6961
6.2,6933
6.2,6811
6.2,7008
6.4,6553
6.4,6508
6.4,6315
6.4,6493
6.4,6234
6.6,6020
6.6,5840
6.6,6015
6.6,5983
6.6,6142
6.8,5542
6.8,5547
6.8,5566
6.8,5401
6.8,5579
7,4882
7,4951
7,4991
7,4949
7,5004
7.2,4289
7.2,4401
7.2,4334
7.2,4477
7.2,4385
7.4,3878
7.4,3835
7.4,3838
7.4,3773
7.4,3826
7.6,3401
7.6,3200
7.6,3389
7.6,3255
7.6,3340
7.8,2806
7.8,2836
7.8,2842
7.8,2768
7.8,2762
8,2401
8,2338
8,2391
8,2397
8,2415
8.2,2291
8.2,2369
8.2,2290
8.2,2310
8.2,2363
8.4,3307
8.4,3354
8.4,3365
8.4,3348
8.4,3289
8.6,4731
8.6,4855
8.6,4674
8.6,4685
8.6,4744
8.8,6035
8.8,6257
8.8,6103
8.8,5949
8.8,6056
9,7106
9,7319
9,7184
9,7405
9,7277
9.2,
9.2,
9.2,
9.2,
9.2,
9.4,
9.4,
9.4,
9.4,
9.4,
9.6,
9.6,
9.6,
9.6,
9.6,
9.8,
9.8,
