detector_position,count
1,9
1,19
1,11
1,11
1,10
1.2,14
1.2,7
1.2,16
1.2,7
1.2,9
1.4,12
1.4,7
1.4,12
1.4,10
1.4,8
1.6,19
1.6,12
1.6,12
1.6,13
1.6,13
1.8,19
1.8,12
1.8,8
1.8,15
1.8,17
2,13
2,19
2,16
2,20
2,17
2.2,21
2.2,22
2.2,27
2.2,19
2.2,20
2.4,24
2.4,32
2.4,23
2.4,24
2.4,39
2.6,27
2.6,31
2.6,33
2.6,23
2.6,32
2.8,39
2.8,34
2.8,34
2.8,40
2.8,38
3,52
3,37
3,44
3,36
3,36
3.2,46
3.2,49
3.2,48
3.2,56
3.2,50
3.4,57
3.4,60
3.4,52
3.4,57
3.4,49
3.6,62
3.6,48
3.6,56
3.6,45
3.6,51
3.8,69
3.8,59
3.8,51
3.8,47
3.8,63
4,55
4,50
4,47
4,59
4,63
4.2,64
4.2,56
4.2,59
4.2,70
4.2,55
4.4,50
4.4,50
4.4,55
4.4,60
4.4,56
4.6,54
4.6,51
4.6,40
4.6,53
4.6,47
4.8,46
4.8,50
4.8,52
4.8,71
4.8,60
5,35
5,35
5,43
5,36
5,32
5.2,38
5.2,32
5.2,29
5.2,45
5.2,29
5.4,36
5.4,31
5.4,24
5.4,38
5.4,33
5.6,21
5.6,27
5.6,31
5.6,35
5.6,30
5.8,21
5.8,21
5.8,25
5.8,34
5.8,22
6,24
6,22
6,25
6,16
6,18
6.2,12
6.2,15
6.2,23
6.2,24
6.2,12
6.4,14
6.4,8
6.4,9
6.4,11
6.4,10
6.6,8
6.6,6
6.6,14
6.6,15
6.6,12
6.8,10
6.8,11
6.8,4
6.8,13
6.8,4
7,5
7,8
7,7
7,9
7,5
7.2,5
7.2,9
7.2,4
7.2,5
7.2,3
7.4,6
7.4,6
7.4,3
7.4,5
7.4,4
7.6,2
7.6,3
7.6,6
7.6,3
7.6,4
7.8,4
7.8,7
7.8,5
7.8,3
7.8,3
8,5
8,5
8,8
8,7
8,7
8.2,12
8.2,7
8.2,7
8.2,8
8.2,10
8.4,28
8.4,37
8.4,30
8.4,35
8.4,24
8.6,58
8.6,57
8.6,53
8.6,48
8.6,54
8.8,67
8.8,68
8.8,94
8.8,72
8.8,65
9,105
9,101
9,99
9,103
9,93
