detector_position,count,
0,1,1041
0,3,1033
0,6,1048
0,3,991
0,8,1011
0.05,17,
0.05,6,
0.05,8,
0.05,6,
0.05,9,
0.1,9,
0.1,9,
0.1,8,
0.1,9,
0.1,8,
0.15,13,
0.15,10,
0.15,4,
0.15,7,
0.15,4,
0.2,10,
0.2,13,
0.2,11,
0.2,6,
0.2,11,
0.25,8,
0.25,13,
0.25,5,
0.25,9,
0.25,15,
0.3,13,
0.3,7,
0.3,5,
0.3,8,
0.3,13,
0.35,10,
0.35,10,
0.35,8,
0.35,13,
0.35,8,
0.4,6,
0.4,6,
0.4,4,
0.4,4,
0.4,9,
0.45,7,
0.45,1,
0.45,6,
0.45,5,
0.45,8,
0.5,11,
0.5,6,
0.5,5,
0.5,6,
0.5,6,
0.55,8,
0.55,3,
0.55,10,
0.55,6,
0.55,6,
0.6,4,
0.6,5,
0.6,3,
0.6,3,
0.6,6,
0.65,4,
0.65,6,
0.65,4,
0.65,8,
0.65,7,
0.7,7,
0.7,5,
0.7,11,
0.7,6,
0.7,5,
0.75,6,
0.75,3,
0.75,7,
0.75,5,
0.75,5,
0.8,11,
0.8,5,
0.8,7,
0.8,7,
0.8,7,
0.85,8,
0.85,9,
0.85,7,
0.85,4,
0.85,9,
0.9,5,
0.9,8,
0.9,3,
0.9,5,
0.9,11,
0.95,8,
0.95,6,
0.95,13,
0.95,4,
0.95,9,
1,10,
1,8,
1,8,
1,7,
1,6,
1.05,5,
1.05,9,
1.05,12,
1.05,10,
1.05,6,
1.1,7,
1.1,8,
1.1,6,
1.1,9,
1.1,5,
1.15,8,
1.15,7,
1.15,7,
1.15,10,
1.15,5,
1.2,5,
1.2,9,
1.2,5,
1.2,8,
1.2,7,
1.25,9,
1.25,7,
1.25,6,
1.25,12,
1.25,13,
1.3,10,
1.3,4,
1.3,5,
1.3,9,
1.3,10,
1.35,10,
1.35,5,
1.35,8,
1.35,11,
1.35,8,
1.4,6,
1.4,8,
1.4,12,
1.4,5,
1.4,4,
1.45,10,
1.45,2,
1.45,7,
1.45,4,
1.45,4,
1.5,4,
1.5,8,
1.5,9,
1.5,9,
1.5,8,
1.55,6,
1.55,7,
1.55,10,
1.55,4,
1.55,7,
1.6,11,
1.6,6,
1.6,10,
1.6,7,
1.6,5,
1.65,8,
1.65,6,
1.65,10,
1.65,6,
1.65,9,
1.7,5,
1.7,6,
1.7,8,
1.7,4,
1.7,7,
1.75,6,
1.75,10,
1.75,10,
1.75,8,
1.75,6,
1.8,6,
1.8,9,
1.8,8,
1.8,11,
1.8,6,
1.85,5,
1.85,5,
1.85,5,
1.85,5,
1.85,5,
1.9,11,
1.9,3,
1.9,7,
1.9,9,
1.9,6,
1.95,9,
1.95,5,
1.95,8,
1.95,6,
1.95,3,
2,10,
2,4,
2,8,
2,7,
2,6,
2.05,16,
2.05,7,
2.05,6,
2.05,5,
2.05,9,
2.1,7,
2.1,4,
2.1,13,
2.1,9,
2.1,10,
2.15,10,
2.15,14,
2.15,11,
2.15,12,
2.15,9,
2.2,14,
2.2,8,
2.2,5,
2.2,6,
2.2,5,
2.25,5,
2.25,10,
2.25,5,
2.25,12,
2.25,16,
2.3,9,
2.3,11,
2.3,12,
2.3,11,
2.3,8,
2.35,9,
2.35,11,
2.35,15,
2.35,10,
2.35,12,
2.4,19,
2.4,19,
2.4,16,
2.4,12,
2.4,14,
2.45,13,
2.45,12,
2.45,19,
2.45,18,
2.45,12,
2.5,15,
2.5,18,
2.5,11,
2.5,21,
2.5,14,
2.55,23,
2.55,17,
2.55,22,
2.55,22,
2.55,19,
2.6,21,
2.6,10,
2.6,19,
2.6,18,
2.6,20,
2.65,16,
2.65,20,
2.65,17,
2.65,16,
2.65,22,
2.7,18,
2.7,20,
2.7,21,
2.7,16,
2.7,22,
2.75,22,
2.75,19,
2.75,10,
2.75,21,
2.75,10,
2.8,26,
2.8,14,
