blocker_position(mm),voltage(mV),,,,,,커지는방향 5.68mm
5.5,9,,,,,,
5.45,9,,,,,,
5.4,9,,,,,,
5.35,9,,,,,,
5.3,9,,,,,,
5.25,9,,,,,,
5.2,9,,,,,,
5.15,9,,,,,,
5.1,9,,,,,,
5.05,9,,,,,,
5,13,,,,,,
4.95,9,,,,,,
4.9,12,,,,,,
4.85,324,,,,,,
4.8,998,,,,,,
4.75,1134,,,,,,
4.7,1129,,,,,,
4.65,1128,,,,,,
4.6,1140,,,,,,
4.55,1176,,,,,,
4.5,2085,,,,,,
4.45,3848,,,,,,
4.4,4180,,,,,,
4.35,4173,,,,,,
4.3,4184,,,,,,
4.25,4185,,,,,,
4.2,4184,,,,,,
4.15,4186,,,,,,
4.1,4190,,,,,,
4.05,4190,,,,,,
4,4191,,,,,,
3.95,4191,,,,,,
3.9,4192,,,,,,
3.85,4193,,,,,,
3.8,4193,,,,,,
3.75,4193,,,,,,
3.7,4193,,,,,,
3.65,4194,,,,,,
3.6,4194,,,,,,
3.55,4195,,,,,,
3.5,4196,,,,,,
3.45,4195,,,,,,
3.4,4196,,,,,,
3.35,4196,,,,,,
3.3,4197,,,,,,
3.25,4196,,,,,,
3.2,4197,,,,,,
3.15,4204,,,,,,
3.1,4274,,,,,,
3.05,3397,,,,,,
3,1495,,,,,,
2.95,1004,,,,,,
2.9,1024,,,,,,
2.85,1024,,,,,,
2.8,1025,,,,,,
2.75,1046,,,,,,
2.7,738,,,,,,
2.65,110,,,,,,
2.6,9,,,,,,
2.55,9,,,,,,
2.5,9,,,,,,
2.45,9,,,,,,
2.4,9,,,,,,
2.35,9,,,,,,
2.3,9,,,,,,
2.25,9,,,,,,
2.2,9,,,,,,
2.15,9,,,,,,
2.1,9,,,,,,
2.05,9,,,,,,
2,9,,,,,,
