blocker_position(mm),voltage(V),,,,,,커지는방향 5.68mm
4.5,0.0081,,,,,,
4.45,0.0081,,,,,,
4.4,0.0081,,,,,,
4.35,0.0081,,,,,,
4.3,0.0081,,,,,,
4.25,0.0081,,,,,,
4.2,0.0093,,,,,,
4.15,0.0812,,,,,,
4.1,0.1304,,,,,,
4.05,0.1254,,,,,,
4,0.127,,,,,,
3.95,0.1277,,,,,,
3.9,0.1235,,,,,,
3.85,0.1996,,,,,,
3.8,0.4426,,,,,,
3.75,0.5735,,,,,,
3.7,0.5506,,,,,,
3.65,0.5549,,,,,,
3.6,0.5559,,,,,,
3.55,0.5557,,,,,,
3.5,0.5557,,,,,,
3.45,0.5562,,,,,,
3.4,0.5564,,,,,,
3.35,0.5563,,,,,,
3.3,0.5566,,,,,,
3.25,0.5568,,,,,,
3.2,0.5571,,,,,,
3.15,0.557,,,,,,
3.1,0.5571,,,,,,
3.05,0.557,,,,,,
3,0.557,,,,,,
2.95,0.5572,,,,,,
2.9,0.5571,,,,,,
2.85,0.5572,,,,,,
2.8,0.5572,,,,,,
2.75,0.5572,,,,,,
2.7,0.5572,,,,,,
2.65,0.5572,,,,,,
2.6,0.5574,,,,,,
2.55,0.5585,,,,,,
2.5,0.5611,,,,,,
2.45,0.5771,,,,,,
2.4,0.5066,,,,,,
2.35,0.2546,,,,,,
2.3,0.1681,,,,,,
2.25,0.159,,,,,,
2.2,0.16,,,,,,
2.15,0.1612,,,,,,
2.1,0.165,,,,,,
2.05,0.1312,,,,,,
2,0.0359,,,,,,
1.95,0.0082,,,,,,
1.9,0.0081,,,,,,
1.85,0.0081,,,,,,
1.8,0.0081,,,,,,
1.75,0.0081,,,,,,
1.7,0.0081,,,,,,
1.65,0.0081,,,,,,
1.6,0.0081,,,,,,
1.55,0.0081,,,,,,
1.5,0.0081,,,,,,
