blocker_position(mm),voltage(mV),,,,,,커지는방향 5.68mm
5.5,9,,,,,,
5.45,9,,,,,,
5.4,9,,,,,,
5.35,9,,,,,,
5.3,9,,,,,,
5.25,9,,,,,,
5.2,9,,,,,,
5.15,9,,,,,,
5.1,9,,,,,,
5.05,9,,,,,,
5,9,,,,,,
4.95,9,,,,,,
4.9,9,,,,,,
4.85,9,,,,,,
4.8,9,,,,,,
4.75,9,,,,,,
4.7,9,,,,,,
4.65,9,,,,,,
4.6,9,,,,,,
4.55,9,,,,,,
4.5,9,,,,,,
4.45,15,,,,,,
4.4,105,,,,,,
4.35,133,,,,,,
4.3,130,,,,,,
4.25,131,,,,,,
4.2,131,,,,,,
4.15,131,,,,,,
4.1,131,,,,,,
4.05,126,,,,,,
4,172,,,,,,
3.95,376,,,,,,
3.9,462,,,,,,
3.85,453,,,,,,
3.8,454,,,,,,
3.75,454,,,,,,
3.7,455,,,,,,
3.65,454,,,,,,
3.6,455,,,,,,
3.55,455,,,,,,
3.5,455,,,,,,
3.45,456,,,,,,
3.4,456,,,,,,
3.35,457,,,,,,
3.3,457,,,,,,
3.25,458,,,,,,
3.2,457,,,,,,
3.15,458,,,,,,
3.1,459,,,,,,
3.05,457,,,,,,
3,458,,,,,,
2.95,459,,,,,,
2.9,459,,,,,,
2.85,458,,,,,,
2.8,457,,,,,,
2.75,457,,,,,,
2.7,458,,,,,,
2.65,432,,,,,,
2.6,219,,,,,,
2.55,123,,,,,,
2.5,127,,,,,,
2.45,126,,,,,,
2.4,126,,,,,,
2.35,125,,,,,,
2.3,126,,,,,,
2.25,125,,,,,,
2.2,109,,,,,,
2.15,33,,,,,,
2.1,9,,,,,,
2.05,9,,,,,,
2,9,,,,,,
