detector_position(mm),voltage(V)
1,0.0103
1.05,0.0098
1.1,0.0092
1.15,0.0089
1.2,0.0087
1.25,0.0086
1.3,0.0086
1.35,0.0086
1.4,0.0087
1.45,0.0086
1.5,0.0087
1.55,0.0087
1.6,0.0087
1.65,0.0086
1.7,0.0086
1.75,0.0086
1.8,0.0086
1.85,0.0086
1.9,0.0087
1.95,0.0088
2,0.0091
2.05,0.0098
2.1,0.0108
2.15,0.0119
2.2,0.0126
2.25,0.0128
2.3,0.0127
2.35,0.0125
2.4,0.0125
2.45,0.0133
2.5,0.0151
2.55,0.0192
2.6,0.0249
2.65,0.034
2.7,0.042
2.75,0.0521
2.8,0.0631
2.85,0.0722
2.9,0.078
2.95,0.0814
3,0.0809
3.05,0.0756
3.1,0.0661
3.15,0.0544
3.2,0.0412
3.25,0.0297
3.3,0.0244
3.35,0.0222
3.4,0.032
3.45,0.0437
3.5,0.0717
3.55,0.0967
3.6,0.1343
3.65,0.1729
3.7,0.2048
3.75,0.2328
3.8,0.2548
3.85,0.2621
3.9,0.2552
3.95,0.2348
4,0.1958
4.05,0.1565
4.1,0.1194
4.15,0.0731
4.2,0.0491
4.25,0.0287
4.3,0.0282
4.35,0.0485
4.4,0.0937
4.45,0.1462
4.5,0.2137
4.55,0.2841
4.6,0.3557
4.65,0.4172
4.7,0.4567
4.75,0.4691
4.8,0.46
4.85,0.4298
4.9,0.3698
4.95,0.297
5,0.2275
5.05,0.1505
5.1,0.0859
5.15,0.0429
5.2,0.0215
5.25,0.0314
5.3,0.0685
5.35,0.1282
5.4,0.2063
5.45,0.307
5.5,0.3998
5.55,0.4698
5.6,0.5173
5.65,0.5515
5.7,0.5498
5.75,0.5202
5.8,0.4638
5.85,0.388
5.9,0.3017
5.95,0.2108
6,0.1301
6.05,0.068
6.1,0.0245
6.15,0.0143
6.2,0.0317
6.25,0.0766
6.3,0.1354
6.35,0.2089
6.4,0.28
6.45,0.3508
6.5,0.4026
6.55,0.4284
6.6,0.4337
6.65,0.4183
6.7,0.3812
6.75,0.324
6.8,0.2579
6.85,0.1882
6.9,0.1342
6.95,0.073
7,0.0358
7.05,0.0172
7.1,0.0141
7.15,0.0269
7.2,0.0517
7.25,0.0814
7.3,0.12
7.35,0.1508
7.4,0.1766
7.45,0.1944
7.5,0.1972
7.55,0.1885
7.6,0.17
7.65,0.1402
7.7,0.0871
7.75,0.0477
7.8,0.0244
7.85,0.0159
7.9,0.0138
7.95,0.0155
8,0.0184
8.05,0.0227
8.1,0.0278
8.15,0.0342
8.2,0.04
8.25,0.0447
8.3,0.0505
8.35,0.0554
8.4,0.0598
8.45,0.0631
8.5,0.066
8.55,0.0681
8.6,0.0703
8.65,0.0729
8.7,0.0759
8.75,0.0807
8.8,0.0856
8.85,0.0935
8.9,0.1031
8.95,0.1136
9,0.124
