detector_position(mm),voltage(mV)
1,15
1.05,18
1.1,25
1.15,30
1.2,36
1.25,40
1.3,42
1.35,41
1.4,38
1.45,33
1.5,27
1.55,21
1.6,19
1.65,21
1.7,28
1.75,39
1.8,56
1.85,73
1.9,89
1.95,101
2,107
2.05,107
2.1,96
2.15,81
2.2,62
2.25,45
2.3,32
2.35,29
2.4,38
2.45,56
2.5,85
2.55,121
2.6,156
2.65,187
2.7,204
2.75,205
2.8,189
2.85,163
2.9,127
2.95,91
3,60
3.05,41
3.1,42
3.15,65
3.2,104
3.25,154
3.3,211
3.35,259
3.4,295
3.45,310
3.5,299
3.55,264
3.6,211
3.65,152
3.7,100
3.75,65
3.8,48
3.85,61
3.9,99
3.95,162
4,230
4.05,313
4.1,362
4.15,394
4.2,390
4.25,358
4.3,302
4.35,224
4.4,160
4.45,95
4.5,59
4.55,55
4.6,83
4.65,137
4.7,213
4.75,293
4.8,364
4.85,411
4.9,423
4.95,404
5,355
5.05,285
5.1,205
5.15,129
5.2,75
5.25,54
5.3,63
5.35,99
5.4,161
5.45,233
5.5,304
5.55,363
5.6,394
5.65,393
5.7,361
5.75,304
5.8,230
5.85,164
5.9,105
5.95,65
6,52
6.05,67
6.1,106
6.15,160
6.2,214
6.25,265
6.3,303
6.35,312
6.4,299
6.45,264
6.5,214
6.55,165
6.6,111
6.65,71
6.7,49
6.75,47
6.8,63
6.85,91
6.9,124
6.95,159
7,184
7.05,200
7.1,199
7.15,185
7.2,160
7.25,126
7.3,95
7.35,63
7.4,46
7.45,35
7.5,36
7.55,44
7.6,59
7.65,73
7.7,87
7.75,96
7.8,98
7.85,95
7.9,84
7.95,71
8,57
8.05,44
8.1,33
8.15,25
8.2,22
8.25,23
8.3,24
8.35,21
8.4,19
8.45,18
8.5,17
8.55,18
8.6,18
8.65,20
8.7,22
8.75,23
8.8,25
8.85,27
8.9,30
8.95,32
9,35
