detector_position(mm),voltage(V)
1,85
1.05,85
1.1,85
1.15,85
1.2,85
1.25,85
1.3,84
1.35,85
1.4,84
1.45,84
1.5,84
1.55,84
1.6,83
1.65,83
1.7,83
1.75,82
1.8,82
1.85,83
1.9,83
1.95,82
2,82
2.05,82
2.1,82
2.15,83
2.2,82
2.25,82
2.3,83
2.35,83
2.4,83
2.45,83
2.5,83
2.55,84
2.6,84
2.65,85
2.7,85
2.75,86
2.8,86
2.85,88
2.9,89
2.95,91
3,95
3.05,101
3.1,114
3.15,128
3.2,140
3.25,156
3.3,170
3.35,186
3.4,202
3.45,221
3.5,239
3.55,259
3.6,281
3.65,303
3.7,327
3.75,345
3.8,371
3.85,399
3.9,416
3.95,438
4,462
4.05,493
4.1,516
4.15,540
4.2,567
4.25,594
4.3,619
4.35,646
4.4,676
4.45,702
4.5,728
4.55,754
4.6,781
4.65,810
4.7,835
4.75,860
4.8,890
4.85,918
4.9,946
4.95,974
5,1002
5.05,1024
5.1,1051
5.15,1076
5.2,1100
5.25,1123
5.3,1144
5.35,1166
5.4,1185
5.45,1207
5.5,1223
5.55,1237
5.6,1253
5.65,1265
5.7,1275
5.75,1284
5.8,1292
5.85,1298
5.9,1303
5.95,1304
6,1306
6.05,1305
6.1,1302
6.15,1297
6.2,1292
6.25,1286
6.3,1278
6.35,1266
6.4,1255
6.45,1241
6.5,1228
6.55,1213
6.6,1200
6.65,1179
6.7,1164
6.75,1141
6.8,1125
6.85,1099
6.9,1080
6.95,1054
7,1031
7.05,1004
7.1,977
7.15,950
7.2,916
7.25,883
7.3,858
7.35,825
7.4,791
7.45,758
7.5,724
7.55,683
7.6,632
7.65,538
7.7,396
7.75,234
7.8,142
7.85,102
7.9,91
7.95,89
8,89
8.05,89
8.1,92
8.15,97
8.2,105
8.25,108
8.3,124
8.35,135
8.4,150
8.45,167
8.5,186
8.55,203
8.6,230
8.65,249
8.7,272
8.75,298
8.8,325
8.85,352
8.9,379
8.95,412
9,438
9.05,
9.1,
