detector_position(mm),voltage(V)
1,112
1.05,110
1.1,105
1.15,99
1.2,95
1.25,91
1.3,90
1.35,90
1.4,90
1.45,92
1.5,95
1.55,102
1.6,114
1.65,122
1.7,128
1.75,127
1.8,120
1.85,106
1.9,96
1.95,90
2,87
2.05,86
2.1,85
2.15,86
2.2,90
2.25,107
2.3,150
2.35,219
2.4,280
2.45,358
2.5,412
2.55,453
2.6,495
2.65,511
2.7,514
2.75,498
2.8,455
2.85,416
2.9,375
2.95,328
3,291
3.05,274
3.1,285
3.15,324
3.2,391
3.25,459
3.3,583
3.35,699
3.4,822
3.45,944
3.5,1065
3.55,1160
3.6,1227
3.65,1263
3.7,1270
3.75,1244
3.8,1197
3.85,1132
3.9,1066
3.95,999
4,933
4.05,894
4.1,886
4.15,908
4.2,956
4.25,1050
4.3,1152
4.35,1282
4.4,1399
4.45,1551
4.5,1685
4.55,1785
4.6,1850
4.65,1900
4.7,1912
4.75,1896
4.8,1847
4.85,1784
4.9,1701
4.95,1594
5,1496
5.05,1425
5.1,1367
5.15,1322
5.2,1310
5.25,1324
5.3,1363
5.35,1424
5.4,1490
5.45,1557
5.5,1642
5.55,1724
5.6,1778
5.65,1817
5.7,1830
5.75,1814
5.8,1772
5.85,1715
5.9,1638
5.95,1553
6,1464
6.05,1348
6.1,1261
6.15,1173
6.2,1102
6.25,1043
6.3,1003
6.35,977
6.4,966
6.45,967
6.5,978
6.55,989
6.6,1003
6.65,1015
6.7,1015
6.75,1007
6.8,985
6.85,957
6.9,909
6.95,855
7,791
7.05,729
7.1,670
7.15,588
7.2,520
7.25,466
7.3,406
7.35,355
7.4,324
7.45,295
7.5,267
7.55,248
7.6,231
7.65,196
7.7,150
7.75,114
7.8,104
7.85,106
7.9,117
7.95,137
8,168
8.05,209
8.1,246
8.15,289
8.2,335
8.25,372
8.3,416
8.35,467
8.4,509
8.45,538
8.5,561
8.55,588
8.6,613
8.65,639
8.7,670
8.75,706
8.8,737
8.85,796
8.9,863
8.95,931
9,1025
